src_text	tgt_text
However, some were able to realize truly professional results.	ᱡᱟᱦᱟᱜᱮ ᱦᱩᱭᱩᱜ, ᱚᱠᱟᱭ ᱚᱠᱚᱭ ᱪᱚ ᱥᱟᱹᱨᱤᱜᱮ ᱯᱮᱥᱟᱫᱟᱹᱨᱤ ᱚᱨᱡᱚ ᱟᱹᱭᱠᱟᱹᱣ ᱫᱟᱨᱟᱢ ᱨᱮ ᱠᱚ ᱯᱟᱨᱚᱠᱷᱤᱭᱟᱹ ᱟᱠᱟᱱᱟ ᱾
Sequels of the game, Diablo II and III, were made.	ᱜᱮᱢ ᱨᱮᱭᱟᱜ ᱥᱤᱠᱩᱣᱟᱞ, ᱰᱟᱭᱟᱵᱞᱳ II ᱟᱨ III ᱵᱮᱱᱟᱣ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾
Diablo IV, which is not yet ready, might come out in 2022.	ᱰᱟᱭᱟᱵᱞᱳ IV, ᱡᱟᱦᱟ ᱫᱚ ᱱᱤᱛ ᱦᱚᱸ ᱵᱟᱝ ᱛᱮᱭᱟᱨ ᱟᱠᱟᱱᱟ, ᱒᱐᱒᱒ ᱥᱟᱹᱦᱤᱛ ᱨᱮ ᱚᱰᱚᱠ ᱦᱮᱡ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾
He wrote 70 books and 293 printed scholarly publications.	ᱩᱱᱤ ᱫᱚ ᱗᱐ ᱜᱚᱴᱟᱝ ᱯᱚᱛᱚᱵ ᱟᱨ ᱒᱙᱓ ᱜᱚᱴᱟᱝ ᱪᱷᱟᱯᱟᱣᱟᱠᱟᱱ ᱵᱟᱹᱲᱛᱤ ᱯᱚᱱᱰᱤᱛ ᱟᱱᱟᱜ ᱩᱪᱷᱟᱹᱱᱮ ᱚᱞ ᱟᱠᱟᱫᱟ ᱾
Diabolik Lovers   is a Japanese visual novel franchise by Rejet.	ᱰᱟᱭᱟᱵᱚᱞᱤ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱨᱮᱡᱮᱴ  ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱡᱟᱯᱟᱱᱤ ᱵᱷᱤᱡᱩᱣᱟᱞ ᱱᱚᱵᱷᱮᱞ ᱯᱨᱷᱟᱧᱪᱟᱭᱡᱤ ᱾
A3 autoroute  The A3 is a short autoroute in France.	ᱮ᱓ ᱚᱴᱳᱨᱩᱴ ᱮ᱓ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱯᱷᱨᱟᱱᱥ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱦᱩᱰᱤᱧ ᱚᱴᱳᱨᱩᱴ ᱾
A55 autoroute  The A55 autoroute is a free motorway in southern France.	ᱮ᱕᱕ ᱚᱴᱳᱨᱩᱴ ᱮ᱕᱕ ᱚᱴᱳᱨᱩᱴ ᱫᱚ ᱫᱚᱠᱠᱷᱤᱱ ᱯᱷᱨᱟᱱᱥ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱵᱤᱱ ᱜᱚᱱᱚᱝ ᱨᱮᱭᱟᱜ ᱢᱳᱴᱚᱨᱣᱮ ᱾
A96 road  The A96 is a road long from Inverness to Aberdeen in Scotland.	ᱮ᱙᱖ ᱰᱟᱦᱟᱨ ᱫᱚ ᱮ᱙᱖ ᱥᱠᱚᱴᱞᱮᱹᱱᱰ ᱨᱮᱭᱟᱜ ᱤᱱᱵᱷᱟᱨᱱᱮᱥ ᱠᱷᱚᱱ ᱮᱹᱵᱟᱨᱰᱤᱱ ᱦᱟᱹᱵᱤ ᱢᱤᱫᱴᱟᱝ ᱡᱮᱸᱞᱮᱧ ᱰᱟᱦᱟᱨ ᱾
ARM  An arm is an upper limb of the body.	ᱮ ᱟᱨ ᱮᱢ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱛᱤ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱯᱟᱦᱚᱴᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱦᱚᱲᱢᱚ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱪᱮᱛᱟᱱ ᱨᱮᱭᱟᱜ ᱦᱤᱸᱥ ᱾
The town never fully recovered from the loss of their talents.	ᱥᱟᱦᱟᱨ ᱫᱚ ᱩᱱᱠᱩᱣᱟᱜ ᱦᱩᱱᱟᱹᱨ ᱨᱮᱭᱟᱜ ᱦᱟᱹᱱ ᱠᱷᱚᱱ ᱯᱩᱨᱟᱹᱯᱩᱨᱤ ᱫᱚ ᱵᱟᱭ ᱚᱣᱟᱨ ᱫᱟᱲᱮ ᱟᱠᱟᱫ ᱠᱚᱣᱟ ᱾
It was one of the first World Heritage Sites listed.	ᱱᱚᱶᱟ ᱫᱚ ᱛᱟᱹᱞᱤᱠᱟᱨᱮ ᱥᱮᱞᱮᱫ ᱟᱠᱟᱱ ᱯᱳᱭᱞᱳ ᱡᱮᱜᱮᱫ ᱥᱮᱨᱣᱟᱼᱟᱱᱟᱜ ᱴᱷᱟᱣ ᱠᱚ ᱢᱩᱫᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾
He was Chief of Staff from 2015 to 2020.	ᱩᱱᱤᱫᱚ ᱒᱐᱑᱕ ᱠᱷᱚᱱ ᱒᱐᱒᱐ ᱦᱟᱹᱵᱤᱡ ᱪᱤᱯᱷ ᱚᱯᱷ ᱥᱴᱟᱯᱷ ᱮ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾
Abbeville was the capital of the former province of France of Ponthieu.	ᱮᱹᱵᱮᱵᱷᱤᱞ ᱫᱚ ᱯᱷᱨᱟᱱᱥ ᱨᱮᱭᱟᱜ ᱢᱟᱨᱮᱱ ᱯᱚᱱᱛᱷᱤᱭᱩ ᱯᱨᱚᱫᱮᱥ ᱨᱮᱭᱟᱜ ᱨᱟᱡᱽᱜᱟᱲ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾
Aalburg  Aalburg is a former municipality in the Dutch province of North Brabant.	ᱟᱞᱵᱟᱨᱜ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱩᱛᱛᱚᱨ ᱵᱨᱟᱵᱟᱱᱴ ᱨᱮᱭᱟᱜ ᱰᱟᱪ ᱯᱨᱚᱫᱮᱥ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱢᱟᱨᱮᱱ ᱯᱳᱣᱨᱚᱥᱚᱵᱷᱟ ᱾
Since 2019, it has been part of the new municipality of Altena.	᱒᱐᱑᱙ ᱥᱟᱞ ᱠᱷᱚᱱ, ᱱᱚᱶᱟ ᱫᱚ ᱟᱞᱛᱮᱱᱟ ᱨᱮᱭᱟᱜ ᱱᱟᱣᱟᱱ ᱯᱳᱣᱨᱚᱥᱚᱵᱷᱟ ᱨᱮᱭᱟᱜ ᱦᱤᱸᱥ ᱾
He used parts of many old American folksongs in his work.	ᱩᱱᱤ ᱫᱚ ᱟᱡᱟᱜ ᱠᱟᱹᱢᱤᱨᱮ ᱟᱭᱢᱟ ᱢᱟᱨᱮᱱ ᱟᱢᱮᱨᱤᱠᱟᱱ ᱦᱚᱲᱥᱮᱹᱨᱮᱹᱧ ᱨᱮᱭᱟᱜ ᱦᱤᱸᱥ ᱡᱚᱭ ᱵᱮᱣᱦᱟᱨ ᱟᱠᱟᱫᱟ ᱾
His music was no longer as easy to understand, nor as popular.	ᱩᱱᱤᱭᱟᱜ ᱥᱮᱹᱨᱮᱹᱧ ᱟᱨ ᱵᱩᱡᱷᱟᱹᱣ ᱞᱮᱠᱟ ᱟᱞᱜᱟ ᱫᱚ ᱵᱟᱝ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ, ᱦᱚᱲᱠᱩᱥᱤᱭᱟᱜ ᱦᱚᱸ ᱵᱟᱝ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾
He said that composers there had a very French way of writing music.	ᱩᱱᱤᱭ ᱞᱟᱹᱭ ᱞᱮᱫᱟ ᱡᱮ ᱚᱰᱮ ᱫᱚ ᱨᱟᱦᱟᱵᱮᱱᱟᱣ ᱠᱚ ᱥᱮᱹᱨᱮᱹᱧ ᱚᱞ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱟᱹᱰᱤᱱᱟᱯᱟᱭ ᱯᱷᱚᱨᱟᱥᱤ ᱩᱯᱟᱹᱭ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾
This work was unusual because Copland used ideas from jazz music in his concerto.	ᱱᱚᱶᱟ ᱠᱟᱹᱢᱤᱫᱚ ᱚᱥᱟᱵᱷᱮᱲ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱚᱡᱮᱫᱚ ᱠᱳᱯᱞᱮᱹᱱᱰ ᱟᱡᱟᱜ ᱠᱚᱱᱥᱟᱨᱴ ᱨᱮ ᱡᱟᱡᱽ ᱥᱮᱹᱨᱮᱹᱧ ᱨᱮᱭᱟᱜ ᱫᱷᱟᱨᱚᱱᱟᱠᱚᱭ ᱵᱮᱣᱦᱟᱨ ᱞᱮᱫᱟ ᱾
In 1872 he founded Montgomery Ward, a store which became nationally known.	᱑᱘᱗᱒ ᱥᱟᱞ ᱨᱮ ᱩᱱᱤ ᱫᱚ ᱢᱚᱱᱴᱮᱜᱳᱢᱟᱨᱤ ᱳᱣᱟᱨᱰ ᱮ ᱵᱮᱱᱟᱣ ᱞᱮᱫᱟ, ᱢᱤᱫᱴᱟᱝ ᱫᱳᱠᱟᱱ ᱡᱟᱸᱦᱟᱫᱚ ᱡᱟᱹᱛᱤᱭᱟᱹᱨᱤ ᱞᱮᱠᱟᱛᱮ ᱩᱯᱨᱩᱢ ᱞᱮᱱᱟ ᱾
Sherritt sold Kate Kelly a horse he had stolen from Kate Byrne.	ᱥᱮᱨᱤᱴ ᱠᱮᱴ ᱫᱚ ᱠᱮᱞᱤ ᱢᱤᱫᱴᱟᱝ ᱴᱷᱤᱞᱤᱭ ᱟᱹᱠᱷᱨᱤᱧ ᱟᱫᱮ ᱛᱟᱦᱮᱸ ᱡᱟᱸᱦᱟᱫᱚ ᱩᱱᱤ ᱠᱮᱴ ᱵᱟᱭᱨᱱᱮ ᱴᱷᱮᱱ ᱠᱷᱚᱱᱮ ᱟᱹᱛᱠᱤᱨ ᱞᱮᱫᱟ ᱾
Byrne and Kelly left Sebastopol and rode across country to Glenrowan.	ᱵᱟᱭᱨᱱ ᱟᱨ ᱠᱮᱞᱤ ᱫᱚ ᱥᱮᱵᱟᱥᱴᱳᱯᱚᱞ ᱵᱟᱹᱜᱤ ᱠᱟᱛᱮ ᱜᱚᱴᱟ ᱫᱤᱥᱚᱢ ᱜᱞᱮᱱᱨᱳᱭᱟᱱ ᱨᱮᱭᱟᱜ ᱡᱚᱥ ᱛᱮᱠᱤᱱ ᱥᱟᱸᱜᱷᱟᱨ ᱞᱮᱫᱟ ᱾
It is found in the province and autonomous community of Murcia in Spain.	ᱱᱚᱶᱟ ᱫᱚ ᱥᱯᱮᱱ ᱨᱮᱟᱭᱜ ᱢᱩᱨᱥᱤᱭᱟ ᱯᱨᱚᱫᱮᱥ ᱟᱨ ᱟᱯᱱᱟᱨᱛᱮ ᱥᱟᱥᱮᱛ ᱜᱟᱛᱟᱠ ᱠᱚ ᱢᱩᱫᱨᱮ ᱧᱟᱢᱚᱜᱼᱟ ᱾
In the peroid of Abülaziz the Ottomans pay attention to get along with West.	ᱟᱵᱩᱞᱡᱤᱡᱟᱜ ᱚᱠᱛᱚᱨᱮ ᱚᱴᱳᱢᱟᱱ ᱠᱚ ᱯᱚᱥᱪᱷᱤᱢᱵᱟᱝᱞᱟ ᱥᱟᱞᱟᱜ ᱢᱮᱥᱟᱜ ᱞᱟᱹᱜᱤᱫ ᱢᱚᱱᱮ ᱠᱚ ᱮᱢ ᱞᱮᱫᱟ ᱾
Abcoude  Abcoude is a former municipality in the Dutch province of Utrecht.	ᱟᱵᱠᱳᱰ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱰᱟᱪ ᱯᱨᱚᱫᱮᱥ ᱩᱴᱨᱮᱠᱷᱚᱴ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱢᱟᱨᱮᱱ ᱯᱳᱣᱨᱚᱥᱚᱵᱷᱟ ᱾
On 11 August 2017, Abdulredha died in London aged 78.	᱒᱐᱑᱗ ᱥᱟᱞ ᱨᱮᱭᱟᱜ ᱑᱑ ᱢᱟᱹᱦᱤᱛ ᱨᱮ ᱟᱵᱫᱩᱞᱨᱮᱫᱷᱟ ᱫᱚ ᱞᱚᱱᱰᱚᱱ ᱨᱮ ᱗᱘ ᱥᱮᱨᱢᱟ ᱩᱢᱮᱨ ᱨᱮᱭ ᱜᱚᱡ ᱟᱠᱟᱱᱟ ᱾
From 1973 to 1977, Mustaghni was Defense Minister of Afghanistan.	᱑᱙᱗᱓ ᱠᱷᱚᱱ ᱑᱙᱗᱗ ᱥᱟᱞ ᱦᱟᱹᱵᱤᱡ ᱢᱩᱥᱛᱟᱜᱚᱱᱤ ᱫᱚ ᱟᱯᱷᱜᱟᱱᱤᱥᱛᱷᱟᱱ ᱨᱮᱱ ᱯᱨᱚᱛᱤᱨᱚᱠᱠᱷᱟ ᱢᱚᱱᱛᱨᱤᱭ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾
Sultan Abdülaziz frequently organized trips to inland and abroad.	ᱥᱩᱞᱛᱟᱱ ᱟᱵᱫᱩᱞ ᱟᱡᱤᱡ ᱫᱚ ᱡᱟᱣᱜᱮ ᱵᱷᱤᱛᱟᱹᱨ ᱨᱮᱭᱟᱜ ᱟᱨ ᱵᱤᱞᱟᱹᱛ ᱨᱮ ᱫᱟᱲᱟᱱ ᱨᱮᱭᱟᱜ ᱮ ᱥᱟᱯᱲᱟᱣ ᱚᱜ ᱛᱟᱦᱮᱸ ᱾
Digg started out as a popular technology news sharing destination.	ᱰᱤᱜ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱦᱚᱲ ᱠᱩᱥᱤᱭᱟᱜ ᱞᱟᱜᱟᱱᱠᱟᱹᱨᱤ ᱰᱚᱜᱚᱨ ᱦᱟᱹᱴᱤᱧ ᱨᱮᱭᱟᱜ ᱵᱩᱴᱟᱹ ᱴᱷᱟᱣ ᱞᱮᱠᱟᱛᱮ ᱮᱛᱚᱦᱚᱵ ᱞᱮᱱᱟ ᱾
The first device to use it is the Kodak DC220, released on .	ᱢᱤᱫᱴᱟᱝ ᱵᱮᱣᱦᱟᱨ ᱟᱠᱟᱫ ᱯᱳᱭᱞᱳ ᱰᱤᱵᱷᱟᱭᱤᱥ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱠᱳᱰᱟᱠ ᱰᱤ ᱥᱤ ᱒᱒᱐, ᱡᱟᱸᱦᱟ ᱫᱚ ᱩᱪᱷᱟᱹᱱ ᱞᱮᱱᱟ ᱾
DigitaOS  DigitaOS is a operating system for digital cameras made by Flashpoint Technology.	ᱰᱤᱜᱤᱴᱟᱣᱚᱥ ᱰᱤᱡᱤᱴᱟᱣᱚᱥ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱯᱷᱞᱟᱥᱯᱚᱭᱮᱱᱴ ᱞᱟᱜᱟᱱᱠᱟᱹᱨᱤ ᱫᱟᱨᱟᱭᱛᱮ ᱵᱮᱱᱟᱣ ᱰᱤᱡᱤᱴᱟᱞ ᱠᱮᱹᱢᱮᱨᱟ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫᱴᱟᱝ ᱚᱯᱟᱨᱮᱴᱤᱝ ᱥᱤᱥᱴᱮᱢ ᱾
Digital computers and digital communication like the internet usually use binary.	ᱰᱤᱡᱤᱴᱟᱞ ᱠᱚᱢᱯᱤᱭᱩᱴᱟᱨ ᱟᱨ ᱤᱱᱴᱟᱨᱱᱮᱴ ᱞᱮᱠᱟᱱ ᱰᱤᱡᱤᱴᱟᱞ ᱡᱳᱜᱟᱡᱳᱜ ᱫᱚ ᱥᱟᱫᱷᱟᱨᱚᱱᱚᱛᱚ ᱵᱟᱭᱱᱟᱨᱤ ᱠᱚ ᱵᱮᱣᱦᱟᱨᱟ ᱾
Alluvial gold was discovered in and along the river in 1851.	᱑᱘᱕᱑ ᱥᱟᱞ ᱨᱮ ᱜᱟᱰᱟᱨᱮ ᱟᱨ ᱚᱱᱟ ᱥᱩᱨ ᱨᱮ ᱯᱚᱞᱤ ᱦᱟᱥᱟ ᱥᱟᱢᱟᱱᱚᱢ ᱢᱩᱫᱟᱹᱢ ᱥᱤᱨᱡᱟᱹᱣ ᱞᱮᱱᱟ ᱾
In 1819, there was a trading post in Abbeville.	᱑᱘᱑᱙ ᱥᱟᱞ ᱨᱮ ᱮᱹᱵᱮᱵᱷᱤᱞ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱴᱨᱮᱰᱤᱝ ᱯᱳᱥᱴ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾
Kumar has served at the Ministry of External Affairs of India.	ᱠᱩᱢᱟᱨ ᱫᱚ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱟᱥᱴᱨᱚ ᱢᱚᱱᱛᱨᱟᱞᱚᱭ ᱨᱮᱭ ᱠᱟᱹᱢᱤ ᱟᱠᱟᱫᱟ ᱾
He studied at Jawaharlal Nehru University and Delhi University.	ᱩᱱᱤ ᱫᱚ ᱡᱚᱦᱚᱨᱞᱟᱞ ᱱᱮᱦᱮᱨᱩ ᱡᱮᱜᱮᱫᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱟᱨ ᱫᱤᱞᱞᱤ ᱡᱮᱜᱮᱫᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮᱭ ᱯᱟᱲᱦᱟᱣ ᱟᱠᱟᱱᱟ ᱾
Digital art is a part of new media art.	ᱰᱤᱡᱤᱴᱟᱞ ᱟᱨᱴ ᱫᱚ ᱱᱟᱣᱟᱱ ᱢᱤᱰᱤᱭᱟ ᱵᱤᱨᱤᱫ ᱨᱮᱭᱟᱜ ᱢᱚᱫᱴᱟᱝ ᱦᱟᱹᱴᱤᱧ ᱾
The theatre lost its original building to a fire on July 18, 1951.	᱑᱙᱕᱑ ᱥᱟᱞ ᱨᱮ ᱑᱘ ᱡᱩᱞᱟᱭ ᱨᱮ ᱱᱚᱶᱟ ᱛᱷᱤᱭᱮᱴᱟᱨ ᱫᱚ ᱟᱡᱟᱜ ᱟᱥᱚᱞ ᱩᱭᱦᱟᱹᱨ ᱨᱟᱯᱟᱜ ᱜᱷᱚᱴᱚᱱ ᱨᱮᱭ ᱟᱫ ᱟᱠᱟᱫᱟ ᱾
It was built in 1979 and opened in 1983.	ᱱᱚᱶᱟ ᱫᱚ ᱑᱙᱗᱙ ᱥᱟᱞ ᱨᱮ ᱵᱮᱱᱟᱣ ᱞᱮᱱᱟ ᱟᱨ ᱑᱙᱘᱓ ᱥᱟᱞ ᱨᱮ ᱠᱷᱩᱞᱟᱹᱣ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾
It was the 8th year of the 1st century.	ᱱᱚᱶᱟ ᱫᱚ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱑ ᱟᱱᱟᱜ ᱥᱚᱛᱟᱵᱫᱤ ᱨᱮᱭᱟᱜ ᱔ ᱟᱱᱟᱜ ᱥᱮᱨᱢᱟ ᱾
It was built in 1932 and is one of the tallest buildings in the world	ᱱᱚᱶᱟ ᱫᱚ ᱑᱙᱓᱒ ᱥᱟᱞ ᱨᱮ ᱵᱮᱱᱟᱣ ᱞᱮᱱᱟ ᱟᱨ ᱱᱚᱶᱟ ᱫᱚ ᱡᱮᱜᱮᱫ ᱨᱮᱭᱟᱜ ᱡᱚᱛᱚᱠᱷᱚᱱ ᱩᱥᱩᱞ ᱵᱷᱚᱵᱚᱱ ᱠᱚ ᱢᱩᱫᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱾
The first plan for 30 Rockefeller Plaza was made in March 1930.	᱓᱐ ᱨᱚᱠᱯᱷᱮᱞᱟᱨ ᱯᱞᱟᱡᱟ ᱞᱟᱹᱜᱤᱫ ᱯᱳᱭᱞᱳ ᱟᱜᱟᱢ ᱩᱭᱦᱟᱹᱨ ᱫᱚ ᱑᱙᱓᱐ ᱥᱟᱞ ᱨᱮᱭᱟᱜ ᱢᱟᱨᱪ ᱪᱟᱸᱫᱚᱨᱮ ᱵᱮᱱᱟᱣ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾
It was a common year starting on Thursday of the Julian calendar.	ᱱᱚᱶᱟ ᱫᱚ ᱡᱩᱞᱤᱭᱟᱱ ᱠᱮᱹᱞᱮᱱᱰᱟᱨ ᱨᱮᱭᱟᱜ ᱥᱟᱹᱨᱫᱤ ᱢᱟᱦᱟ ᱠᱷᱚᱱ ᱮᱛᱚᱦᱚᱵ ᱢᱤᱫᱴᱟᱝ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱥᱮᱨᱢᱟ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾
It marked the beginning of the Bronze Age and of writing.	ᱱᱚᱶᱟ ᱫᱚ ᱵᱨᱳᱧᱡ ᱡᱩᱜ ᱟᱨ ᱚᱞ ᱮᱛᱚᱦᱚᱵ ᱨᱮᱭᱟᱜ ᱮ ᱪᱤᱱᱦᱟᱹᱭᱟ ᱾
The first ghost is the Ghost of Christmas Past.	ᱯᱳᱭᱞᱳ ᱵᱷᱩᱛ ᱫᱚᱭ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱠᱨᱤᱥᱢᱟᱥ ᱯᱟᱥᱴ ᱨᱮᱱ ᱵᱷᱩᱛ ᱾
In response, orders were issued for the 9th Infantry to occupy Cairo.	ᱛᱮᱞᱟᱭ ᱨᱮ ᱠᱟᱭᱨᱳ ᱫᱚᱠᱷᱚᱞ ᱞᱟᱹᱜᱤᱫ ᱛᱟᱲᱟᱢ ᱯᱷᱟᱹᱫ ᱞᱟᱹᱜᱤᱫ ᱦᱩᱠᱩᱢ ᱡᱟᱹᱨᱤ ᱞᱮᱱᱟ ᱾
The alto solo shows what the person’s soul is feeling.	ᱚᱞᱴᱳ ᱥᱳᱞᱳᱭ ᱩᱫᱩᱜᱟ ᱮ ᱦᱚᱲᱟᱜ ᱟᱛᱢᱟ ᱪᱮᱫ ᱮ ᱵᱷᱩᱡᱟᱹᱣ ᱟᱠᱟᱫᱟ ᱾
