,Hindi,Bhili
47377,श्री पोखरियाल ने इस कार्यक्रम में प्रतिभागियों को संबोधित करते हुए प्रोग्रामिंग एवं डेटा साइंस में विश्व का पहला ऑनलाइन बी.एससी. डिग्री पाठ्यक्रम का शुभारम्भ करने के लिए आईआईटी मद्रास की टीम को बधाई दी,श्री पोखरियाल यी इना कार्यक्रम मां भाग लेवा वाला ने केवा सम्मान नी हाते केदू प्रोग्रामिं अने डेटा सांइस (विज्ञान) मां दनिया नु पेलखु ऑनलाईन बीएससी डिग्री अने भणवा नी किताब नि शुरूआत करवा हारू आईटीआई मद्रास नी टीम ने धन्यवाद लालयु।
74639,वहीं इसमें 20 मेगापिक्सल का पाॅपअप सेल्फी कैमरा भी है।,इनी हाते हाते इनमा 20 मेगा पिक्सल ना पापअप सेल्फी केमरो बी से
37315,भारत में बदलाव सवा सौ करोड़ लोगों की वजह से हुआ है।,भारत मा  बदलाव हवा हो करोड लोको नी वजह थी थायु से।
35490,"“‘डिजिटल इंडिया’ के अंतर्गत, ‘प्रधानमंत्री आवास योजना’ के लाभार्थियों को ऑनलाइन आवेदन प्रक्रिया और ट्रैकिंग की सुविधा प्रदान कर, आवास के सपने को पूरा किया जा रहा है।”।",डिजिटल इंडिया थी प्रधानमंत्री आवास योजनां आलवा हारूं घेर बणांवा ना हपनां नं पुरूं करी जाईं रयूं से।
123193,फूल कम गुणकारी होते हैं।,फूल कम गुणकारी थाए है।
93299,"हुमायूं ने दिल्ली के पास एक निजी वेधशाला का निर्माण किया; जहांगीर और शाहजहां भी वेधशालाओं का निर्माण करने के इच्छुक थे, लेकिन वे ऐसा कर न सके।                                                                                                                   s","हुमायू ने दिल्ली ना मेरे एक जीव नी वेधशाला बणांवी, जहंगीर अने शाहजहां ने भी वेधशाला बणांवी तैयारि करेवी ने ईछुक हतेलो बाकी त्यौ एम नी करि सकियो।"
87459,गर्भावस्था के बाद की अवधि के दौरान उन्हें शेख के सादगीपूर्ण निवास सीकरी भेज दिया गया था।,भारीसडी पेट हीं रेदेली ; गृभावस्‍थाद्ध पसे नी समय पर वणी वखत वणाये शेख सादगीापुर्ण रेवानु सीकरी भेजी नाचा है।
98146,"चंडीगढ़ उत्तर, पश्चिम और दक्षिण में पंजाब राज्य और पूर्व में हरियाणा राज्य से घिरा हुआ है।
","
चंडीगढ़ उत्तर, पश्चिम अन दक्षिण मा पंजाब राज्य अन पूर्व मा हरियाणा राज्य थी घेराइलू से "
45593,"कारोबारी सूत्रों ने कहा, अगले साल कपास की कीमतें मजबूत रह सकती हैं क्योंकि कपास का रकबा घटा है और अनियमित बारिश से इसकी पैदावार भी प्रभावित होगी, जो 620 किलोग्राम प्रति हेक्टेयर रहने की संभावना है।","कारोबारी सूत्र इ केदु आवा वाळा साल कपाह नी कीमत जोरदार री सके से।. एतरे के कपाह नो रकबो घटिया से।  अने अगर नियम बारिश थी इनी पैदावार थी प्रभावित थाहे।, जो 620 किलोग्राम प्रति हे।क्टेयर रेवानी संभावना से।।"
111067,"केंद्रीय सड़क परिवहन एवं राजमार्ग, पर्यावरण व वन सचिव, महानिदेशक, सड़क (सड़क परिवहन एवं राजमार्ग मंत्रालय), महानिदेशक (बीआरओ) और दोनों मंत्रालयों के वरिष्ठ अधिकारियों के साथ-साथ राज्य सरकार के अधिकारियों ने भी इस बैठक में भाग लिया।"," केंद्रीय सड़क परिवहन एवं राजमार्ग पर्यावरण व वन सचिव महानिदेसक, सड़क ( सड़क परिवहन एवं राजमार्ग मंत्रालय ), महानिदेसक ( बीआरओ ) अन दोनों मंत्रालय ना वरिषठ अधिकारियों ना बी इन बैठक मा भाग लिदु |"
43287,प्रतिनिधिमंडल ने भारत के हज यात्रियों की संख्‍या बढ़ाने के लिए सऊदी सरकार के निर्णय की सराहना की और इस मामले को सफलतापूर्वक उठाने के लिए प्रधानमंत्री को धन्‍यवाद दिया।,प्रतिनिधिमंडल ना भारत न हज यात्रियों नी संख्या बढावा हारू सउदी सरकारों न फेसला नी वाह वाथी करी अने ना मामला नोपास थावनु उठावा हारू प्रधानमंत्री नो धन्यवाद देदो।
2174,वो कृषि मंत्रालय एवं किसान कल्याण मंत्रालय के रूप में जाना जाएगा,त्या खेती नी मोटी आंफिस  अने करसाण फायदो वालो आफिस मा नाम थी जाहे
134684,क्या सब ठीक है?,किम बदू ताजू से।
14714,इस सरकार के तीन सालों में 2600 किलोमीटर रेल लाइन का दोहरीकरण हुआ है।,इनी सरकार ना तीन वरहा मां 2600 कि मी रेल लाईन नू ।
87606,"इसलिए, उन्होंने चतुराई से सुल्तान का विश्वास जीतने के लिए भीलसा की लूट को जलालुद्दीन के हवाले कर दिया, जबकि यादव राज्य के बारे में जानकारी को छिपाए रखा।",इनी वाले तीनो शैतानी थी सुल्तान न विश्वाश जितवा हारू भिलसा नी लुटी ने जलालुदीन के हवाले कर नाख्यो जेर भी यादव राज्य नी बारे माँ जांनकारी ने ह्ताड़ी राख्यो द्य
84507,"लेह जिले में प्रमुख मातृभाषा लद्दाखी है, जो एक तिब्बती भाषा है।","लेह जिला मां खास मातृभाषा लद्धाखी से, जे एक तिब्बती भाषा से।"
42825,शाह ने एक मनोरंजन वेबसाइट को दिए साक्षात्कार के दौरान भारत और पाकिस्तान के बीच शत्रुता पर अफसोस जताते हुए कहा था कि भारतीयों के दिमाग में यह भरा जा रहा है कि पाकिस्तान उनका दुश्मन है।,शाह ने एक मनोरंजन वेबसाईट मा मुलाकात ना समय भारत अने पाकिस्तान न वसमा दुश्मनी पर तकलीफ ओतडवा हता केदु कि भारतीयो नो दिमाग मा यु भराई जारियु हे कि पाकिस्तान इना दुश्मन है ं
135083,क्या आप मुझे याद करते हैं?,हुं तम मने याद करो से।
11434,हरिद्वार में हर 12 साल में हरिद्वार कुंभ मेले का आयोजन होता है जिसमें भारत और दुनिया के सभी हिस्सों से लाखों तीर्थयात्री भाग लेते हैं।,हरिद्वार माँ हर बारह वर्हू माँ हरिद्वार कुंभ मेणो लागे से की मा भारत आमदनिया न बता भागू था लाखों दर्शन करवावाळां आवेसे।
53087,"इसके अलावा, यह बहस की जाती है कि क्या प्राचीन ग्रीक मुक्केबाजी में लातों की अनुमति थी और हालाँकि इस के कुछ सबूत हैं, यह विद्वानों के बीच बहस का विषय है।","इनथी, या बहस करे से के किकेम पूराना ग्रीक मुक्‍केबाजी मां लात नी अनुमति हती अने इनो कई सबूत से।"
15470,ये सभी झरने पश्चिमी घाट में स्थित हैं।,ये हंगळां जरना पश्चिमी घाट मा हतुं से।
108608,"फिर मैं, कुछ factual चीज़ों को जैसे गाँव, व्यक्ति का नाम उन चीज़ों को नोट कर लेता हूँ।",फेर हु कई factual चीजो ने जेहु गामडाना लोकु नु नाम इनी चिजो ने नोट लिखलु से।
69370,"एकल खंड में बने आई.ओ.एल. अपवाद हैं, जिन्हें मोतियाबिंद की शल्य-चिकित्सा के समय संपुटीय बैग में रखा जाना चाहिए और इसलिए इनका दूसरे दर्ज़े के प्रत्यारोपण के रूप में उपयोग नहीं किया जा सकता है।",ऐखला भाग मा बणे  आई. ओ. एल . एक अपवाद है जिने  मोतियाबिंद नी शल्‍प चिकित्‍सा मा समय संपुटीय बैग मा राखो जाणो चाहिए अजू इनो इसारो दर्जे मा प्रत्‍यारोपण मा यप में उपयोग नी किजा सके है।
117166,कथन अलग-अलग हैं और कई आधुनिक इतिहासकार समग्र प्रामाणिकता के दायरे पर सवाल करते हैं।,वाते अलग.अलग हैं अने कई जोनी वाते  समग्र प्रामाणिकता ना कायदा  उपर सवाल करे से।
32151,प्रधानमंत्री श्री नरेन्द्र मोदी ने बुद्ध पूर्णिमा के शुभ अवसर पर लोगों को बधाई दी है।,प्रधानमंत्री श्री नरेन्द्र मोदी थी बुद्व पूर्णिमा ना शुभ अवसर पर सब लोगू ने बधाई आली
124858,जो व्यक्ति समय पर पोष्टिक आहार लेता है वह स्वस्थ रहता है।,जो आदमी समय थी खाणु खाय ते ठीक रहे छे
127007,मैं आपकी बात नही मानूगां।,में तारी वात निही मानू ।
111590,बाजार में किसानों के उत्पादों के लिए लाभकारी मूल्य दिलाना उनके लिए लाभ सुनिश्चित करने के विचार से बाजार सुधार करना सरकार की एक महत्वपूर्ण पहल है।,बाजार मा करसाणो नी पैदावार हारु फायदा ना रुपया अलाडवा तिनानी हारु फायदो सुनिश्चित करवा ना वश्‍यार थी बाजार हधार करवु सरकार नी एक खास पहल से।।
106280,"यह पूछे जाने पर कि क्या वह पश्चिम बंगाल में कोई भेदभाव देखते हैं, 85 वर्षीय त्रिपाठी ने कहा, ‘‘भेदभाव प्रत्यक्ष है।","यू पुस्या जावा पर कि हुं त्यो पश्चिम बंगाल मां कोई भेदभाव भाळहीं से, 85 वर्षीय त्रिपाठी हीं किदु, "" भेदभाव प्रत्यक्ष से ।"
51403,"इस प्रकार, राजस्थान के अचार अपने चटपटे और मसालेदार स्वाद के लिए काफी प्रसिद्ध हैं।",इना प्रकार राजस्थान ना आचार अपडे चटपट अने मसालेदार स्वाद हारू हास हाता से ।
101020,"लोक अदालतों में मामलों का समाधान आपसी समझौते से हो रहा है, जिससे अदालतों पर दबाव कम होने के साथ-साथ जनता का विश्वास भी बढ़ा है।",लोक अदालत मा केस ने सलजाई मा सल थाई रिया से। जिना थी कोरट मा दबाव कम थावा ना मनखु ना भरोहे मा वदारो थायो से।
1690,"आप अपने घर से कपड़े का थैला लेकर आइए या तो हम कपड़े का थैला भी बेचेंगे, ले जाइये। हम एक वातावरण बनायें।","तमु तमारा घेर थी सीतरा नो कोथलो लीन आवो नी ते हमु सीतरा ना कोथळा पण वेसहूं, ली जावो । हमु एक माहौल बणावी"
34509,"आपने भ्रष्टाचार मुक्त भारत की बात की। भ्रष्टाचार तो दीमक की तरह देश को खोखला करता है। उससे मुक्ति के लिए 2047 का इंतजार क्यों ? ये काम हम सभी देशवासियों को, आज की युवा-पीढ़ी को मिलकर करना है, जल्द से जल्द करना है।",आपुये भष्टाचार नी मुक्त भारत नी वात करी भष्टाचार ने उददी नी रीते देह ने खाली खोखलो करे से हिनथी मुक्ति ने लिदे 2047 नो वाट केम जोयरा से यो काम हमु हंगला देह वाशियो ने आज नी जुवानी पीढी ने मली ने करवानु से उतावेल करवानु से।
97813,"यह फिल्म 24 अप्रैल 2020 को प्रदर्शित की गई थी।
","
या पिकसर 24 अप्रैल 2020 ने डन देखाडेली "
91696,सुबह ही दो दलों के शीर्ष नेताओं ने तौर-तरीकों पर चर्चा की और दोपहर बाद गठबंधन की घोषणा की.,हवार मा ही बे दलो ना मोटा नेता ही तौर-तरीकों उपर चर्चा करी ।
13314,मैं IIT नौजवानों से एक और बात बताना चाहता हूं।,हुंआईआईटी जुवानु थी एक हजु वाट्यु वताडवा साहु से।
44398,कृषि क्रांति के लिए आयुर्वेद के बाद अब कृषि को औषधियों से जोड़कर प्रसंस्करण से संबद्ध किया जाएगा ।,खेती मा क्रांती लावा हारू आयूर्वेद ना बाद  दवा पैदा करवा वाळी खेती थी जोडीन ने इना मा सुधार करहे ।
109482,ग्रामीण आवास योजना के विकास से ग्रामीण समाज में रोज़गारों का सृजन होता है और इससे गांवों के अर्थतंत्र का विकास होता है।,ग्रामीण आवस योजना ना विकास थी ग्रामीण समाज रोजगार नो विकास धायु इनथी अने गॉव ना अर्थतंत्र नो विकास थायु । 
74992,कोरोना वायरस के अत्यधिक संक्रामक होने के मद्देनजर मंत्रालय लोगों को अपने-अपने घरों में ही योगाभ्यास करने के लिए प्रोत्साहित कर रहा है,709. कोरोणा वायरस ने वदार फैलावा ना कारण मंत्रालय मनख्ूाण आपडा आपडा घेरू मा ही यो करवा नी हारू हेरी सडावी रियो से ।
72486,मनुली इधर उधर घूमती सारे गायों से दोस्ती करते,मनुली इधर-उधर घूमती जाये ने बिजी डगरियू थी भी घणी दोस्‍ती करवा लागी ।
16371,मुझे लगता है श्रेष्‍ठ भारत बनाने के लिए ये छोटा सा काम हर हिन्‍दुस्‍तानी कर सकता है।,मन लागे से कि खास भारत बणावा हारू नानू काम हर देहवासी करी सके।
39129,"चाहे कोई गठबंधन सरकार हो या किसी एक पार्टी की सरकार हो, देश के सामने चुनौतियां वही रहती हैं.",चाहे कोई भेलानी सरकार हो अने किसी एक पाटी नी सरकार हो देश ने सामने चुनोतियो वही रेवे से।
130280,मॉं के प्‍यार को ममता कहते हैं।,आयह नो लाड़ न ममता कहें ।
117159,"बेल्स पॉल्ज़ी चेहरे की उस तंत्रिका की खराबी का परिणाम है, जो चेहरे की मांसपेशियों को नियंत्रित करती है।",बेल्स पॉल्ज़ी चेहरे नी वेनी  तंत्रिका की गंदो नो नतीजो  जवी माथे नी  मांसपेशियों ने हमाळी राखे
134933,मैंने  तुम्हारे बारे में सपना देखा.,मी तमारा बारा मा हमनू देख्यू।
9733,9-10 सितंबर 2023 के दौरान नई दिल्ली के भारत मंडपम में 18वां G20 शिखर सम्मेलन सफलतापूर्वक संपन्न हुआ।,9-10 सितंबर 2023 ना वस मा नवी दिल्‍ली मा भारत मंडवा मा 18 वां जी20 मेला मा खुश थाई ।
92534,"इसके बाद शाह सुलेमान ने तैमूर शाह को सिंहासन सौंप दिया, और उनके एक वफादार अनुयायी बन गए जैसा की अमीर हबीबुल्लाह खान के चित्रण में है।",इनानी पसळ शाह सुलेमान नी तैमूर शाह ने राजगदी हुपी दे दी अने तिनानो एक खास काम वाळो सेलो बणी ग्यो। जेमकी अमीर हबीबुल्लाह खान ना पुठा मा से।
19154,"ये साड़ियां हमेशा सूती कपड़े की बनी होती हैं और इनकी चौड़ाई सामान्य साड़ियों की तुलना में कम होती है, जो टखनों के बजाय घुटनों पर गिरती हैं।",ये हाडियो हमेशा सुती न सितरा थी बुणेलियो रे ननी सोड़े हमेशा हाडियोनी थी कम रे ये टकनों न वजह घुटनों हुदी पडे से।
7800,राज्य में कई अप्रवाही जल क्षेत्र हैं जिनका उपयोग वाणिज्यिक अंतर्देशीय नौवहन के लिए किया जाता है।,राज्य मा घणा रोकईलू जळ ठाम से जिहुनु वेपार देह-परदेह ना जहाजु नावोन हीक कामु हारू करि जाये से।
86034,"खाद्य सुरक्षा और गुणवत्‍ता बढ़ाने के लिए राष्‍ट्रीय उत्‍पादकता परिषद (एनपीसी)एशियन प्रॉडक्‍टीविटी ऑर्गेनाइजेशन, टोक्‍यो, जापान के सहयोग से टिकाऊ खाद्य मूल्‍य श्रृंखलाओं के क्षमता निर्माण पर दो दिवसीय राष्‍ट्रीय सम्‍मेलन आज नई दिल्‍ली में शुरु हुआ।",खावानी रखवाळी करवा वाळा अने असल वदारवा हारू देह नी पेदावर परिषद एनपीसी एशियन पोडमी की जावा मा जापान ना मदद थी खावानी नो भाव नो किकेम वदारे से अने बे दन मोटा मोळा नवी दल्ली मा थाई से ।
80737,"उन्होंने कहा कि जिलाधिकारियों को लोगों को एलईडी बल्ब, भीम ऐप जैसी पहल के बारे में जागरूक करना चाहिए।",तिहुये केदू कि जिलाधिकारियों ना लोगों ने एलईडी बल्ब भीम ऐप जैवी  पहल ना बारा मा जागरूक करवा जोहे ।
64660,"उन्होंने बाद में कहा कि यह कार्य"" ""बैठक को तितर-बितर करने के लिए नहीं था, बल्कि भारतीयों को आज्ञा का उल्लंघन के लिए सज़ा देना के लिए था।""","तिनाये फेर केदू कि यु काम, मीटीग ने वगाडवा हरू नी हतु पन भारत ने अपथू वताडीन राज्या आलवा हरू हतु।"
110061,क्यू एस रैंकिंग में भारत में सबसे ऊंचा दर्जा प्राप्त भारतीय प्रौद्योगिकी संस्थान दिल्ली का 222वां संस्थान है।, क्यू.एस. रैंकिग मां भारत सबही उॅचों नाम आिळयों से। भारत नी प्रोघोंशिकी संस्था दिल्ली नों 222 वो स्थान से।
16789,गुजरात में से Textile सबसे पहले अहमदाबाद से चलता हुआ ये Textile उद्योग बनारस में आया।,गुजरात मा Textile सब हू पेलखु अहमदाबाद मा सालतु थायाू अन यो Textile उद्योग बनारस मा आयों।
53379,नेटबॉल का प्रारंभिक विकास जेम्स नाइस्मिथ के बास्केटबॉल के नए खेल के प्रारंभिक नियमों की क्लारा बेयर की गलत व्याख्या से हुआ और अंततः यह अपने स्वयं के खेल में विकसित हुआ।,नेटबॉंल नी धरू मा विकास जेम्‍स नाइस्थिमथ ना बास्‍केटबॉल नो नवो खेल सरू करवाना मेन नी क्‍लारा बेयर नी गलत वताडीन इनमा यु आपडी जीवे खेल मा किसित थायु।
48911,प्रधानमंत्री सुरक्षा बीमा योजना प्रति वर्ष महज 12 रुपये में दो लाख रुपये का दुर्घटना बीमा मुहैया कराती है।,प्रधानमंत्री सुरक्षा बीमा हर वरस 12 रूपया मा दो लाख नो टकराई जावा नो बीमों आळहे।
57740,पास प्रतिशत बेहतर करने के लिए बिहार बोर्ड ने ग्रेस मार्क्स देने की नीति अपना रखी है।,पास प्रतिशत नज करवा हारू गिहार बोर्ड यी ग्रेस मार्क्‍स आलवा नी नीति पर सालीरिया से।
133158,क्‍या बात कर रहे हो।,काय वात करी रीया छो
27356,इस राज्य में अब से कोई बैगन नहीं खायेगा ।,इना राज माहमणां थी कोई रिंगणां नी खाहे।
71169,"बता दें, दिल्ली का समग्र वायु गुणवत्ता सूचकांक (299) भी ‘बहुत खराब' स्तर पर पहुंच गया है.",वताडे है दिली ना समग्र वायरी गुणवता सूचकांक भी घणी खराब पर स्‍तर गी है।
19037,संगीत समारोहों के अंत में प्रस्तुत किए जाने वाले कुछ प्रकार के गीत तिलाना या दर्शकों द्वारा अनुरोध की जाने वाली लोकप्रिय कृतियों या रचनाओं के अंश या टुकड़े हैं।,गीतों ना मेला मां आखिरी माह बोले जावा घणा प्रकार में गीत दिलाना या देखा हा ने मांग थी कि दावा घणा सरखाती और अस नी ते टुकड़ा से।
114876,साउंडट्रैक एल्बम 28 जून 2013 को संगीत तिकड़ी शंकर-एहसान-लॉय द्वारा निर्देशित संगीत के साथ जारी किया गया था।,साउंडट्रेक एल्बम 28 जून 2013 नो संगीत तिकड़ी शकर-एहसान-लाय थी नेर्देशित संगीत नी हाते जारी करिया !
65175,"एक तेज गेंदबाज के रूप में, मुझे बहुत सोच समझना (स्मार्ट बल्लेबाजों को आउट करना) पड़ता था।",एक जोर दिन गेन्द फेकवा वाळा ना रूप मा हमुन इनी चुनौतियो नो सामनो करवा नी ताकत से।
6567,"वह उन फौजियों को नहीं देख सकते, जो राज्य के चप्पे-चप्पे में फैले हुए हैं, लेकिन वह हवा में तनाव महसूस कर रहे हैं.",त्यो तिना फौजियों ने नी देखी सके ज्यों राज्य ना खुणा-खुणा मां वहेला से पण त्यो वायरां मां परेशानी देखी रया से।
29494,"जहाँ भी जाओगे, सब पूछेंगे कि आपकी तैयारी कैसी चल रही है, कितने percent आपका स्कोर करोगे।","जाँ पण जाहो, बदा पूंसहे कि तमारी तैयारी केवी साली री से, केतरा percent तमारो स्कोर करहो ।"
63501,"यदि आप अपने छोटे व्यवसाय के लिए एक एकाउंटेंट की तलाश कर रहे हैं, तो अपने उद्योग में अन्य व्यवसाय मालिकों से एक उद्योग-विशिष्ट एकाउंटेंट खोजने के लिए अवश्य कहें।",तमो नाना काम हारू तक खाता  खोलवा हारू तलाश काी रिया से। आपडा कारखाना या बिजा मालिको ने एक विशेष खास खातो खोलवा को।
90029,"तांबे की आईयूडी से मासिक धर्म में खून बह रहा हो सकता है और अधिक दर्दनाक ऐंठन में वृद्धि हो सकती है, जबकि हार्मोनल युक्ति मासिक धर्म के खून बहने को कम कर सकती है या मासिक धर्म पूरी तरह बंद कर सकती है।",तंबा नी आईयूडी हि मानसिक  धरम में लोई बारते आई सगे ने ज्यादा दर्दनाक ऐंठन मे बडी समे ।जदी हार्मोनल युक्ति मानसिंक धरम में खुन बारत नकलनु कम करी सके या पूरू बंद करी सके ।
95573,कंठ संगीत को प्राणवन्त बनाने तथा मानव - हृदय में प्रेरणा भरने के लिये यंत्र - संगीत का उद्भव हुआ ।,गला थी गावाना गीतु ने जीवनु जैवु बणावा हारू अने मनख ना हरदा मा प्रेरणा भरवा हारू गावा.वाला ना संगीत नु जलम  थायु।
66483,मध्यखेल संयोजन अक्सर प्रतिद्वंद्वी के राजा के खिलाफ हमले के साथ जुड़े होते हैं।,मध्‍यखेल संयोजन अक्‍सर हामें वाळा राजा ना खिलाफ हमलों ना हाते जोडाएला हता।
64176,"इसके बजाय अधिकांश इतिहासकार अब इसे हिन्द-एवन शासक मेनांडर प्रथम, या शायद मथुरा के बाद के यवन राजा के रूप में मानते हैं।",इना बाद मा अधिकांश इतिहासकार मा हेवा हिन्दु एवन राजा मेनांडर पेलो अने शायद मथूरा ना बाद ना यवन राजा नू रूप मा मानी  ली दु।
56915,"इसके अतिरिक्त, हत्या, आदि या उसके दु-प्रेरण के गंभीर अपराध वाले मात्र अभियोगों से जूझ रहे अभियुक्त पर भार परिवर्तित करना वांछनीय नहीं है ।",इना बाद मारवा या तिने उबा करवा ना ख़ास केस वाला दोसो यी थाकी रया मुलजिम पर दबाव बदलवा करवा वसवा नी से ।
37696,"प्रधानमंत्री श्री नरेन्‍द्र मोदी की अध्‍यक्षता में केंद्रीय मंत्रिमंडल ने ‘दि रिपब्लिक ऑफ कोलंबिया और भारत गणराज्‍य के बीच निवेश के संवर्द्धन और संरक्षण के लिए मौजूदा करार (बीपा), 10 नवंबर, 2009 को हस्‍ताक्षरित, के संबंध में भारत और कोलंबिया के बीच संयुक्‍त निर्वचनात्‍मक घोषणा (जेआईडी) पर हस्‍ताक्षर करने के लिए अपनी मंजूरी प्रदान कर दी है।",प्रधानमंत्री नरेन्‍द्र मोदी की अध्‍यक्षता मा केन्‍द्रीय मंत्री मण्‍डल ने आली रिपबलीक को लंबियो और भारत गणराज्‍य के वसमा धन्‍दो नो मलवे और सरक्षण के कि हरू ताजा करार 10 नवम्‍बर 2009 को मिटींग के रिस्‍तों मा भारत और की लंबीया के वसमा छोटा चर्चा वान वादी पर हत्‍ताक्षर करवा हारू आपडी मजूरी आली नाखी से ।
